codigo_fifa,equipo_es,equipo_en,confederacion,grupo
MEX,México,Mexico,CONCACAF,A
RSA,Sudáfrica,South Africa,CAF,A
KOR,Corea del Sur,South Korea,AFC,A
CZE,Chequia,Czechia,UEFA,A
CAN,Canadá,Canada,CONCACAF,B
BIH,Bosnia y Herzegovina,Bosnia and Herzegovina,UEFA,B
QAT,Catar,Qatar,AFC,B
SUI,Suiza,Switzerland,UEFA,B
BRA,Brasil,Brazil,CONMEBOL,C
MAR,Marruecos,Morocco,CAF,C
HAI,Haití,Haiti,CONCACAF,C
SCO,Escocia,Scotland,UEFA,C
USA,Estados Unidos,United States,CONCACAF,D
PAR,Paraguay,Paraguay,CONMEBOL,D
AUS,Australia,Australia,AFC,D
TUR,Turquía,Turkey,UEFA,D
GER,Alemania,Germany,UEFA,E
CUW,Curazao,Curacao,CONCACAF,E
CIV,Costa de Marfil,Ivory Coast,CAF,E
ECU,Ecuador,Ecuador,CONMEBOL,E
NED,Países Bajos,Netherlands,UEFA,F
JPN,Japón,Japan,AFC,F
SWE,Suecia,Sweden,UEFA,F
TUN,Túnez,Tunisia,CAF,F
BEL,Bélgica,Belgium,UEFA,G
EGY,Egipto,Egypt,CAF,G
IRN,Irán,Iran,AFC,G
NZL,Nueva Zelanda,New Zealand,OFC,G
ESP,España,Spain,UEFA,H
URU,Uruguay,Uruguay,CONMEBOL,H
KSA,Arabia Saudita,Saudi Arabia,AFC,H
CPV,Cabo Verde,Cape Verde,CAF,H
FRA,Francia,France,UEFA,I
SEN,Senegal,Senegal,CAF,I
NOR,Noruega,Norway,UEFA,I
IRQ,Irak,Iraq,AFC,I
ARG,Argentina,Argentina,CONMEBOL,J
AUT,Austria,Austria,UEFA,J
ALG,Argelia,Algeria,CAF,J
JOR,Jordania,Jordan,AFC,J
POR,Portugal,Portugal,UEFA,K
COL,Colombia,Colombia,CONMEBOL,K
UZB,Uzbekistán,Uzbekistan,AFC,K
COD,RD Congo,DR Congo,CAF,K
ENG,Inglaterra,England,UEFA,L
CRO,Croacia,Croatia,UEFA,L
GHA,Ghana,Ghana,CAF,L
PAN,Panamá,Panama,CONCACAF,L
