codigo_fifa,pos_fifa,puntos_fifa
ARG,1,1877.27
ESP,2,1874.71
FRA,3,1870.70
ENG,4,1828.02
POR,5,1767.85
BRA,6,1765.86
MAR,7,1755.10
NED,8,1753.57
BEL,9,1742.24
GER,10,1735.77
CRO,11,1714.87
COL,13,1698.35
MEX,14,1687.48
SEN,15,1684.07
URU,16,1673.07
USA,17,1671.23
JPN,18,1661.58
SUI,19,1650.06
IRN,20,1619.58
TUR,22,1605.73
ECU,23,1598.52
AUT,24,1597.40
KOR,25,1591.63
AUS,27,1579.34
ALG,28,1571.03
EGY,29,1562.37
CAN,30,1559.48
NOR,31,1557.44
CIV,33,1540.87
PAN,34,1539.16
SWE,38,1509.79
CZE,40,1505.74
PAR,41,1505.35
SCO,42,1503.34
TUN,45,1476.41
COD,46,1474.43
UZB,50,1458.73
QAT,56,1450.31
IRQ,57,1446.28
RSA,60,1428.38
KSA,61,1423.88
JOR,63,1387.74
BIH,64,1387.22
CPV,67,1371.11
GHA,73,1346.88
CUW,82,1294.77
HAI,83,1293.10
NZL,85,1275.58
